Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand
U-12TB1 112xlarge,u-12tb1.112xlarge,12288.0 GiB,448 vCPUs,EBS only,100 Gigabit,109.20000
U-9TB1 112xlarge,u-9tb1.112xlarge,9216.0 GiB,448 vCPUs,EBS only,100 Gigabit,81.90000
U-6TB1 112xlarge,u-6tb1.112xlarge,6144.0 GiB,448 vCPUs,EBS only,100 Gigabit,54.60000
U-6TB1 56xlarge,u-6tb1.56xlarge,6144.0 GiB,224 vCPUs,EBS only,100 Gigabit,46.40390
U-3TB1 56xlarge,u-3tb1.56xlarge,3072.0 GiB,224 vCPUs,EBS only,50 Gigabit,27.30000
X1E 32xlarge,x1e.32xlarge,3904.0 GiB,128 vCPUs,3840 GB                 (2 * 1920 GB SSD),25 Gigabit,26.68800
R7A 48xlarge,r7a.48xlarge,1536.0 GiB,192 vCPUs,EBS only,50 Gigabit,14.60640
R7A Metal-48xl,r7a.metal-48xl,1536.0 GiB,192 vCPUs,EBS only,50 Gigabit,14.60640
X1E 16xlarge,x1e.16xlarge,1952.0 GiB,64 vCPUs,1920 GB                 SSD,10 Gigabit,13.34400
X1 Extra High-Memory 32xlarge,x1.32xlarge,1952.0 GiB,128 vCPUs,3840 GB                 (2 * 1920 GB SSD),25 Gigabit,13.33800
R7I 48xlarge,r7i.48xlarge,1536.0 GiB,192 vCPUs,EBS only,50 Gigabit,12.70080
R7I Metal-48xl,r7i.metal-48xl,1536.0 GiB,192 vCPUs,EBS only,50 Gigabit,12.70080
R7IZ 32xlarge,r7iz.32xlarge,1024.0 GiB,128 vCPUs,EBS only,50 Gigabit,11.90400
R7IZ Metal-32xl,r7iz.metal-32xl,1024.0 GiB,128 vCPUs,EBS only,50 Gigabit,11.90400
R8G Metal-48xl,r8g.metal-48xl,1536.0 GiB,192 vCPUs,EBS only,50 Gigabit,11.31070
R8G 48xlarge,r8g.48xlarge,1536.0 GiB,192 vCPUs,EBS only,50 Gigabit,11.31070
R6IN Metal,r6in.metal,1024.0 GiB,128 vCPUs,EBS only,200 Gigabit,11.15710
R6IN 32xlarge,r6in.32xlarge,1024.0 GiB,128 vCPUs,EBS only,200 Gigabit,11.15710
M7A 48xlarge,m7a.48xlarge,768.0 GiB,192 vCPUs,EBS only,50 Gigabit,11.12830
M7A Metal-48xl,m7a.metal-48xl,768.0 GiB,192 vCPUs,EBS only,50 Gigabit,11.12830
R6A 48xlarge,r6a.48xlarge,1536.0 GiB,192 vCPUs,EBS only,50 Gigabit,10.88640
R6A Metal,r6a.metal,1536.0 GiB,192 vCPUs,EBS only,50 Gigabit,10.88640
C7A Metal-48xl,c7a.metal-48xl,384.0 GiB,192 vCPUs,EBS only,50 Gigabit,9.85340
C7A 48xlarge,c7a.48xlarge,384.0 GiB,192 vCPUs,EBS only,50 Gigabit,9.85340
R7A 32xlarge,r7a.32xlarge,1024.0 GiB,128 vCPUs,EBS only,50 Gigabit,9.73760
M7I Metal-48xl,m7i.metal-48xl,768.0 GiB,192 vCPUs,EBS only,50 Gigabit,9.67680
M7I 48xlarge,m7i.48xlarge,768.0 GiB,192 vCPUs,EBS only,50 Gigabit,9.67680
M6IN Metal,m6in.metal,512.0 GiB,128 vCPUs,EBS only,200 Gigabit,8.91070
M6IN 32xlarge,m6in.32xlarge,512.0 GiB,128 vCPUs,EBS only,200 Gigabit,8.91070
M8G Metal-48xl,m8g.metal-48xl,768.0 GiB,192 vCPUs,EBS only,50 Gigabit,8.61700
M8G 48xlarge,m8g.48xlarge,768.0 GiB,192 vCPUs,EBS only,50 Gigabit,8.61700
C7I 48xlarge,c7i.48xlarge,384.0 GiB,192 vCPUs,EBS only,50 Gigabit,8.56800
C7I Metal-48xl,c7i.metal-48xl,384.0 GiB,192 vCPUs,EBS only,50 Gigabit,8.56800
R6IN 24xlarge,r6in.24xlarge,768.0 GiB,96 vCPUs,EBS only,150 Gigabit,8.36780
M6A 48xlarge,m6a.48xlarge,768.0 GiB,192 vCPUs,EBS only,50 Gigabit,8.29440
M6A Metal,m6a.metal,768.0 GiB,192 vCPUs,EBS only,50 Gigabit,8.29440
R6I Metal,r6i.metal,1024.0 GiB,128 vCPUs,EBS only,50 Gigabit,8.06400
R6I 32xlarge,r6i.32xlarge,1024.0 GiB,128 vCPUs,EBS only,50 Gigabit,8.06400
C8G Metal-48xl,c8g.metal-48xl,384.0 GiB,192 vCPUs,EBS only,50 Gigabit,7.63010
C8G 48xlarge,c8g.48xlarge,384.0 GiB,192 vCPUs,EBS only,50 Gigabit,7.63010
M7A 32xlarge,m7a.32xlarge,512.0 GiB,128 vCPUs,EBS only,50 Gigabit,7.41890
C6A 48xlarge,c6a.48xlarge,384.0 GiB,192 vCPUs,EBS only,50 Gigabit,7.34400
C6A Metal,c6a.metal,384.0 GiB,192 vCPUs,EBS only,50 Gigabit,7.34400
R7A 24xlarge,r7a.24xlarge,768.0 GiB,96 vCPUs,EBS only,37.5 Gigabit,7.30320
C6IN Metal,c6in.metal,256.0 GiB,128 vCPUs,EBS only,200 Gigabit,7.25760
R6A 32xlarge,r6a.32xlarge,1024.0 GiB,128 vCPUs,EBS only,50 Gigabit,7.25760
C6IN 32xlarge,c6in.32xlarge,256.0 GiB,128 vCPUs,EBS only,200 Gigabit,7.25760
R5N Metal,r5n.metal,768.0 GiB,96 vCPUs,EBS only,100 Gigabit,7.15200
R5B Metal,r5b.metal,768.0 GiB,96 vCPUs,EBS only,25 Gigabit,7.15200
R5N 24xlarge,r5n.24xlarge,768.0 GiB,96 vCPUs,EBS only,100 Gigabit,7.15200
